file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,153,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,34
style.css,154,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,25
style.css,155,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,16
style.css,156,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,157,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,158,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,26
style.css,159,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,25
style.css,160,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,12
style.css,161,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,14
style.css,162,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,18
style.css,163,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,15
style.css,164,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,24
style.css,165,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,166,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,167,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,18
style.css,168,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,14
style.css,169,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,13
style.css,170,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,14
style.css,171,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,16
style.css,172,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,173,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,174,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,51
style.css,175,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,2,11
style.css,176,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
style.css,177,css,8cbf0be9,vipra-b,2026-05-01,23:38:49,-07:00,2026-05-01T23:38:49-07:00,0,0
